,0
0,1240727809225441280
1,1240727809074569225
2,1240727809300901888
3,1240727810060279816
4,1240727811024969728
5,1240727811255656448
6,1240727811612180481
7,1240727813088522242
8,1240727813541560322
9,1240727813851885570
10,1240727813642235904
11,1240727814908805120
12,1240727815311495171
13,1240727815592521730
14,1240727815877578752
15,1240727816196497414
16,1240727816934764544
17,1240727816922112000
18,1240727817790337025
19,1240727817765171202
20,1240727818675331074
21,1240727819270979591
22,1240727819472297987
23,1240727819782520832
24,1240727820126560256
25,1240727820684361736
26,1240727821737029632
27,1240727822005608448
28,1240727822089351168
29,1240727824522240002
30,1240727824497082373
31,1240727824715128832
32,1240727825835077632
33,1240727826023792641
34,1240727826644570113
35,1240727826917195776
36,1240727828066336768
37,1240727828607512579
38,1240727828603248645
39,1240727828989165571
40,1240727830096490496
41,1240727831354544129
42,1240727832365535233
43,1240727834328432654
44,1240727835024797697
45,1240727835322380288
46,1240727836241076224
47,1240727836983529480
48,1240727837360812032
49,1240727837985792001
50,1240727838753525763
51,1240727839843840000
52,1240727840070475776
53,1240727840678608897
54,1240727840892559363
55,1240727841207209985
56,1240727841743888384
57,1240727841974542336
58,1240727843740540929
59,1240727843874668546
60,1240727844646338561
61,1240727845250498561
62,1240727845439180802
63,1240727845678153728
64,1240727846349344769
65,1240727846730883072
66,1240727846869446657
67,1240727847146262528
68,1240727847309844489
69,1240727848270401537
70,1240727849092382723
71,1240727849440444421
72,1240727850237427712
73,1240727850392715264
74,1240727851382370304
75,1240727851642519554
76,1240727852066144256
77,1240727853743906822
78,1240727854553411587
79,1240727854515728387
80,1240727855505514497
81,1240727855878848513
82,1240727856113688585
83,1240727856629547010
84,1240727856964964352
85,1240727857212653571
86,1240727857640300544
87,1240727857720156160
88,1240727858110234629
89,1240727858722549763
90,1240727859309707265
91,1240727860966354949
92,1240727861172015104
93,1240727862124183555
94,1240727862992306176
95,1240727863432798208
96,1240727863487332352
97,1240727866192601095
98,1240727866666553346
99,1240727866737917953
100,1240727870810378241
101,1240727871267549184
102,1240727872878362624
103,1240727872979062784
104,1240727872832036865
105,1240727873738006529
106,1240727873847267329
107,1240727874417709062
108,1240727874614833157
109,1240727874715267072
110,1240727875575263237
111,1240727875738841092
112,1240727876741132288
113,1240727877571809280
